0 1.25e-07
100 0.000121921
200 0.000188156
300 0.000377976
400 0.000498565
500 0.000769607
600 0.000916453
700 0.00116469
800 0.00139297
900 0.00174703
1000 0.0019583
1100 0.00228571
1200 0.00253832
1300 0.00279309
1400 0.00308977
1500 0.00341904
1600 0.00376828
1700 0.00401454
1800 0.00439364
1900 0.00475889
2000 0.00512007
2100 0.00556133
2200 0.00592598
2300 0.00636226
2400 0.00674505
2500 0.0071888
2600 0.0075105
2700 0.00798886
2800 0.00891863
2900 0.00932868
3000 0.0098262
3100 0.0112381
3200 0.0133259
3300 0.0136987
3400 0.0140812
3500 0.0151845
3600 0.0146616
3700 0.0154162
3800 0.0159058
3900 0.0166275
