10 1.5053e-05
110 0.0002672
210 0.000582818
310 0.00110484
410 0.00186221
510 0.00289469
610 0.00435567
710 0.00555741
810 0.00732456
910 0.0091725
1010 0.0112412
1110 0.0139767
1210 0.016278
1310 0.0190399
1410 0.0220024
1510 0.0254411
1610 0.0290905
1710 0.0322609
1810 0.0361478
1910 0.0405971
2010 0.0446567
2110 0.049534
2210 0.0539144
2310 0.0585817
2410 0.0644696
2510 0.0696377
2610 0.0756372
2710 0.080913
2810 0.0871799
2910 0.0930247
3010 0.0995812
3110 0.106772
3210 0.113005
3310 0.120273
3410 0.127385
3510 0.135181
3610 0.143227
3710 0.150536
3810 0.158053
3910 0.167104
